FUNC __main__.calc_pure_python 48.9141 1768957537.0004 52.2188 1768957540.0224 0
FUNC __main__.calculate_z_serial_purepython 125.5859 1768957537.1366 136.2891 1768957540.0090 1
CMDLINE /home/pavel/IdeaProjects/DD2358/.venv/bin/python3 JuliaSet.py
MEM 0.585938 1768957536.8288
MEM 36.542969 1768957536.9293
MEM 66.218750 1768957537.0294
MEM 121.843750 1768957537.1296
MEM 133.269531 1768957537.2298
MEM 133.375000 1768957537.3300
MEM 133.480469 1768957537.4301
MEM 133.589844 1768957537.5303
MEM 133.703125 1768957537.6304
MEM 133.812500 1768957537.7306
MEM 133.921875 1768957537.8307
MEM 134.035156 1768957537.9308
MEM 134.144531 1768957538.0310
MEM 134.257812 1768957538.1311
MEM 134.371094 1768957538.2313
MEM 134.484375 1768957538.3315
MEM 134.601562 1768957538.4317
MEM 134.714844 1768957538.5318
MEM 134.828125 1768957538.6320
MEM 134.945312 1768957538.7322
MEM 135.058594 1768957538.8323
MEM 135.148438 1768957538.9325
MEM 135.261719 1768957539.0327
MEM 135.375000 1768957539.1328
MEM 135.484375 1768957539.2330
MEM 135.597656 1768957539.3331
MEM 135.710938 1768957539.4333
MEM 135.820312 1768957539.5334
MEM 135.933594 1768957539.6335
MEM 136.042969 1768957539.7337
MEM 136.152344 1768957539.8338
MEM 136.253906 1768957539.9340
MEM 52.226562 1768957540.0342
