CMDLINE /home/pavel/IdeaProjects/DD2358/.venv/bin/python rz_pic.py
MEM 0.707031 1773067900.6824
MEM 36.042969 1773067900.7826
MEM 60.718750 1773067900.8828
MEM 83.105469 1773067900.9830
MEM 93.402344 1773067901.0831
MEM 97.406250 1773067901.1833
MEM 97.433594 1773067901.2834
MEM 97.460938 1773067901.3836
MEM 97.472656 1773067901.4837
MEM 97.496094 1773067901.5838
MEM 97.511719 1773067901.6839
MEM 97.527344 1773067901.7841
MEM 97.539062 1773067901.8842
MEM 97.554688 1773067901.9843
MEM 97.566406 1773067902.0845
MEM 97.578125 1773067902.1846
MEM 97.593750 1773067902.2847
MEM 97.601562 1773067902.3849
MEM 97.613281 1773067902.4850
MEM 97.628906 1773067902.5851
MEM 97.640625 1773067902.6852
MEM 97.644531 1773067902.7856
MEM 97.656250 1773067902.8857
MEM 97.671875 1773067902.9858
MEM 97.679688 1773067903.0860
MEM 97.683594 1773067903.1861
MEM 97.699219 1773067903.2862
MEM 97.707031 1773067903.3863
MEM 97.710938 1773067903.4865
MEM 97.722656 1773067903.5866
MEM 97.722656 1773067903.6867
MEM 97.734375 1773067903.7871
MEM 97.738281 1773067903.8872
MEM 97.738281 1773067903.9873
MEM 97.738281 1773067904.0875
MEM 97.738281 1773067904.1876
MEM 97.738281 1773067904.2877
MEM 97.738281 1773067904.3879
MEM 97.738281 1773067904.4880
MEM 97.738281 1773067904.5881
MEM 97.738281 1773067904.6883
MEM 97.738281 1773067904.7884
MEM 97.738281 1773067904.8885
MEM 97.738281 1773067904.9886
MEM 97.738281 1773067905.0888
MEM 97.738281 1773067905.1889
MEM 97.738281 1773067905.2890
MEM 97.742188 1773067905.3892
MEM 97.742188 1773067905.4893
MEM 97.742188 1773067905.5894
MEM 97.742188 1773067905.6896
MEM 97.742188 1773067905.7898
MEM 97.742188 1773067905.8899
MEM 97.742188 1773067905.9901
MEM 97.742188 1773067906.0902
MEM 97.742188 1773067906.1903
MEM 97.742188 1773067906.2905
MEM 97.742188 1773067906.3907
MEM 97.742188 1773067906.4908
MEM 97.742188 1773067906.5910
MEM 97.742188 1773067906.6911
MEM 97.742188 1773067906.7913
MEM 97.742188 1773067906.8915
MEM 97.742188 1773067906.9916
MEM 97.742188 1773067907.0917
MEM 97.742188 1773067907.1919
MEM 97.742188 1773067907.2920
MEM 97.742188 1773067907.3921
MEM 97.742188 1773067907.4923
