         7772742 function calls (7770539 primitive calls) in 7.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     94/1    0.000    0.000    7.887    7.887 {built-in method builtins.exec}
        1    0.000    0.000    7.887    7.887 rz-pic.py:1(<module>)
        1    2.088    2.088    7.811    7.811 rz-pic.py:210(main)
     1002    2.386    0.002    2.428    0.002 rz-pic.py:82(solvePotential)
  1269372    1.673    0.000    1.843    0.000 rz-pic.py:33(gather)
   624352    1.171    0.000    1.171    0.000 rz-pic.py:44(scatter)
        8    0.001    0.000    0.198    0.025 __init__.py:1(<module>)
  2556762    0.173    0.000    0.173    0.000 {built-in method math.trunc}
  1251355    0.165    0.000    0.165    0.000 rz-pic.py:19(XtoL)
  1255696    0.085    0.000    0.085    0.000 {built-in method math.sqrt}
    107/2    0.000    0.000    0.076    0.038 <frozen importlib._bootstrap>:1349(_find_and_load)
    107/2    0.000    0.000    0.076    0.038 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    104/2    0.000    0.000    0.076    0.038 <frozen importlib._bootstrap>:911(_load_unlocked)
     93/2    0.000    0.000    0.076    0.038 <frozen importlib._bootstrap_external>:989(exec_module)
    254/4    0.000    0.000    0.075    0.019 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    390/4    0.000    0.000    0.073    0.018 {built-in method builtins.__import__}
   144/18    0.000    0.000    0.072    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.045    0.045 __config__.py:1(<module>)
   421680    0.022    0.000    0.022    0.000 rz-pic.py:29(R)
        1    0.000    0.000    0.020    0.020 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 multiarray.py:1(<module>)
        1    0.000    0.000    0.018    0.018 defmatrix.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _linalg.py:1(<module>)
      373    0.008    0.000    0.012    0.000 inspect.py:875(cleandoc)
   202200    0.012    0.000    0.012    0.000 multiarray.py:403(where)
     1002    0.012    0.000    0.012    0.000 rz-pic.py:137(computeEF)
  254/130    0.000    0.000    0.012    0.000 typing.py:392(inner)
        1    0.000    0.000    0.011    0.011 _add_newdocs.py:1(<module>)
      350    0.000    0.000    0.010    0.000 function_base.py:490(add_newdoc)
      264    0.001    0.000    0.009    0.000 overrides.py:145(decorator)
       93    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      4/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap_external>:1295(exec_module)
      4/3    0.003    0.001    0.009    0.003 {built-in method _imp.exec_dynamic}
      350    0.000    0.000    0.008    0.000 function_base.py:474(_add_docstring)
     2170    0.006    0.000    0.008    0.000 rz-pic.py:64(sampleIsotropicVel)
      104    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      305    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
